datetime,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Funding rate,openinterest,symbol
2024-12-03 13:00:00,94813.59,94871.23,93670.0,93715.98,3416.9354,1733234399999,322128078.5220009,426040,1480.22512,139530267.8503606,0,0.0,0,BTCUSDT
2024-12-03 14:00:00,93715.98,95448.97,93578.17,95235.25,5054.59198,1733237999999,476772710.7525973,621474,2738.77928,258354559.56636888,0,0.0,0,BTCUSDT
2024-12-03 15:00:00,95235.25,96250.0,95100.36,95682.54,4112.1537,1733241599999,393837213.6825662,552441,2036.61488,195084160.1608886,0,0.0,0,BTCUSDT
2024-12-03 16:00:00,95682.54,96169.99,94860.0,95112.0,2102.60918,1733245199999,201011101.0350212,351169,976.71221,93389751.1803176,0,0.00024926,0,BTCUSDT
2024-12-03 17:00:00,95112.0,95900.0,94882.83,95828.0,1569.70182,1733248799999,149602437.5130709,332551,836.09421,79700784.5717909,0,0.0,0,BTCUSDT
2024-12-03 18:00:00,95828.01,95828.01,95270.2,95481.15,1039.5062,1733252399999,99324242.1895316,200133,486.33032,46463928.7687267,0,0.0,0,BTCUSDT
2024-12-03 19:00:00,95481.15,95500.0,94939.77,95428.6,1225.15604,1733255999999,116676329.0767581,221124,632.03221,60185494.6899725,0,0.0,0,BTCUSDT
2024-12-03 20:00:00,95428.61,95680.0,95272.5,95615.06,1517.38179,1733259599999,144943404.9984899,177160,843.87071,80598708.7814158,0,0.0,0,BTCUSDT
2024-12-03 21:00:00,95615.06,96100.0,95545.82,96000.0,1544.87685,1733263199999,148124532.783399,183592,716.2351,68674478.2787907,0,0.0,0,BTCUSDT
2024-12-03 22:00:00,96000.01,96140.01,95644.44,96117.76,1005.4043,1733266799999,96458182.2428679,129467,477.73425,45834134.314734,0,0.0,0,BTCUSDT
2024-12-03 23:00:00,96117.76,96124.28,95811.31,95849.69,1041.27227,1733270399999,99906573.8157973,173160,481.11113,46160057.307611,0,0.0,0,BTCUSDT
2024-12-04 00:00:00,95849.69,96027.35,95572.18,95746.42,1163.38095,1733273999999,111477371.6250267,204875,553.9438,53075845.6434941,0,0.00011951,0,BTCUSDT
2024-12-04 00:00:00,95849.69,96027.35,95572.18,95746.42,1163.38095,1733273999999,111477371.6250267,204875,553.9438,53075845.6434941,0,0.00011951,0,BTCUSDT
2024-12-04 01:00:00,95746.41,96614.16,95449.98,96216.0,1710.49995,1733277599999,164215154.4507517,283162,925.98118,88923891.2865655,0,0.0,0,BTCUSDT
2024-12-04 02:00:00,96216.0,96223.34,95224.17,95788.0,1285.027,1733281199999,122907759.1907197,279427,574.60238,54944502.9034989,0,0.0,0,BTCUSDT
2024-12-04 03:00:00,95788.01,95896.0,95548.75,95770.32,629.40058,1733284799999,60266760.1590742,84317,274.66209,26294855.3892822,0,0.0,0,BTCUSDT
2024-12-04 04:00:00,95770.32,96050.1,95717.54,96024.8,676.25556,1733288399999,64829111.3288836,95613,346.57331,33223721.8673566,0,0.0,0,BTCUSDT
2024-12-04 05:00:00,96024.8,96480.23,96016.68,96480.22,743.85498,1733291999999,71608374.1185551,126084,361.07933,34758635.1599439,0,0.0,0,BTCUSDT
2024-12-04 06:00:00,96480.22,96714.41,96279.8,96539.68,1201.55961,1733295599999,115978118.2597643,194956,523.1303,50491425.6839068,0,0.0,0,BTCUSDT
2024-12-04 07:00:00,96539.69,96702.79,96404.54,96588.81,985.76728,1733299199999,95165108.4955551,151240,479.35591,46275931.7816415,0,0.0,0,BTCUSDT
2024-12-04 08:00:00,96588.81,96810.12,96524.4,96687.53,965.59916,1733302799999,93364632.9732535,128511,449.00988,43415629.7070808,0,0.00026634,0,BTCUSDT
2024-12-04 09:00:00,96687.53,96950.0,96661.53,96815.78,1046.92043,1733306399999,101381231.3397378,170828,474.41651,45938877.4406395,0,0.0,0,BTCUSDT
2024-12-04 10:00:00,96815.78,96836.1,96430.0,96512.0,875.0514,1733309999999,84554772.9171085,132688,327.01672,31603619.1813855,0,0.0,0,BTCUSDT
2024-12-04 11:00:00,96511.99,96512.0,96172.0,96190.41,892.53931,1733313599999,86001314.8101111,131770,434.70961,41887288.7299291,0,0.0,0,BTCUSDT
2024-12-04 12:00:00,96190.41,96277.71,95684.67,95967.98,1153.84025,1733317199999,110710076.707114,279197,536.44517,51471832.0030078,0,0.0,0,BTCUSDT
2024-12-04 13:00:00,95967.98,96011.61,95352.41,95665.51,1444.6641,1733320799999,138224770.8934066,296186,663.63118,63500960.0791933,0,0.0,0,BTCUSDT
2024-12-04 14:00:00,95665.51,96560.0,95456.37,95822.99,2471.04588,1733324399999,237185281.89500073,464183,1239.0669,118953507.4860862,0,0.0,0,BTCUSDT
2024-12-04 15:00:00,95822.99,96386.2,95411.47,95742.81,2889.64076,1733327999999,277215746.2777471,551132,1427.58104,136967219.1013553,0,0.0,0,BTCUSDT
2024-12-04 16:00:00,95742.8,95820.0,94587.83,94847.81,3483.10085,1733331599999,331059045.8339636,548107,1664.43698,158210289.9026133,0,0.00026254,0,BTCUSDT
2024-12-04 17:00:00,94847.81,95571.63,94685.51,95546.62,1754.08338,1733335199999,166724634.7577131,389054,895.91082,85147031.9412947,0,0.0,0,BTCUSDT
2024-12-04 18:00:00,95546.63,96225.48,95451.0,96111.01,1649.7421,1733338799999,158175597.8632403,296126,825.33003,79146338.5263807,0,0.0,0,BTCUSDT
2024-12-04 19:00:00,96111.01,97232.01,96043.65,97209.64,2580.08489,1733342399999,249353478.5668696,303470,1461.51914,141286245.0782181,0,0.0,0,BTCUSDT
2024-12-04 20:00:00,97209.64,99000.0,97128.52,98747.97,7370.81853,1733345999999,724804427.3626281,720666,4132.05654,406265045.35298634,0,0.0,0,BTCUSDT
2024-12-04 21:00:00,98747.96,98900.0,97416.59,97691.11,3022.15927,1733349599999,296940678.9547774,405036,1369.7602,134597783.98736,0,0.0,0,BTCUSDT
2024-12-04 22:00:00,97691.11,98598.0,97544.0,98174.61,1637.42365,1733353199999,160785021.1852092,196339,822.42614,80753650.8275648,0,0.0,0,BTCUSDT
2024-12-04 23:00:00,98174.6,99000.0,98164.01,98587.32,2218.07741,1733356799999,219066063.81989512,215757,1270.95596,125521842.9842151,0,0.0,0,BTCUSDT
2024-12-05 00:00:00,98587.32,98799.0,98212.53,98296.01,1885.73231,1733360399999,185763098.1944234,265860,917.01858,90334819.385599,0,0.00023233,0,BTCUSDT
2024-12-05 00:00:00,98587.32,98799.0,98212.53,98296.01,1885.73231,1733360399999,185763098.1944234,265860,917.01858,90334819.385599,0,0.00023233,0,BTCUSDT
2024-12-05 01:00:00,98296.01,98648.47,97888.89,98179.14,2159.70606,1733363999999,212203242.7223178,331980,1019.56886,100182210.601914,0,0.0,0,BTCUSDT
2024-12-05 02:00:00,98179.14,101616.22,98138.23,101248.19,13614.299579,1733367599999,1365272380.4435527,1002943,8298.354149,831597402.4428988,0,0.0,0,BTCUSDT
2024-12-05 03:00:00,101248.19,104088.0,101248.19,102964.0,12251.751483,1733371199999,1259925511.7078545,1181421,6134.523387,630664477.7631956,0,0.0,0,BTCUSDT
2024-12-05 04:00:00,102964.0,103544.71,102484.0,103339.96,4204.10271,1733374799999,432886845.2964488,526380,1917.58308,197446390.8457424,0,0.0,0,BTCUSDT
2024-12-05 05:00:00,103339.96,103455.13,101706.35,102450.01,3818.61708,1733378399999,392319751.24256337,379758,2087.40962,214403870.048176,0,0.0,0,BTCUSDT
2024-12-05 06:00:00,102450.01,102662.46,101421.59,101904.02,3820.02291,1733381999999,389486888.9091476,351342,2159.6305,220170358.1197355,0,0.0,0,BTCUSDT
2024-12-05 07:00:00,101904.02,102560.76,101324.16,102236.1,3087.83057,1733385599999,315040581.1934061,297974,1564.00319,159555773.1489409,0,0.0,0,BTCUSDT
2024-12-05 08:00:00,102236.1,102899.99,102236.1,102764.0,3813.37873,1733389199999,391240697.0379763,325839,2439.97205,250324270.6889347,0,0.00027625,0,BTCUSDT
2024-12-05 09:00:00,102764.01,103159.76,102565.63,102698.24,2204.40307,1733392799999,226643571.7296194,253541,1294.42394,133117935.5943748,0,0.0,0,BTCUSDT
2024-12-05 10:00:00,102698.25,102920.0,102260.0,102280.62,1591.37326,1733396399999,163215560.3835871,218600,661.62906,67874388.5555749,0,0.0,0,BTCUSDT
2024-12-05 11:00:00,102280.62,102672.84,102237.79,102566.91,1395.71099,1733399999999,142969605.7912125,170777,640.42619,65606172.1996624,0,0.0,0,BTCUSDT
2024-12-05 12:00:00,102566.91,103295.99,102452.95,102846.15,2215.64476,1733403599999,227821970.3997164,297355,1106.16723,113750205.0607358,0,0.0,0,BTCUSDT
2024-12-05 13:00:00,102846.16,103250.0,102684.73,102753.9,1851.85906,1733407199999,190690083.56242928,297994,955.47082,98389791.9596174,0,0.0,0,BTCUSDT
2024-12-05 14:00:00,102753.91,103550.0,102280.0,103507.99,3124.41507,1733410799999,321758395.973979,484332,1543.6597,158970610.7020794,0,0.0,0,BTCUSDT
2024-12-05 15:00:00,103508.0,103540.0,100925.97,101292.01,8058.89896,1733414399999,824406750.2139068,666572,4011.36005,410779271.4324575,0,0.0,0,BTCUSDT
2024-12-05 16:00:00,101292.0,101999.0,100568.02,101037.51,4508.84935,1733417999999,456881643.09306735,624393,2225.35732,225510899.62118313,0,0.00072446,0,BTCUSDT
2024-12-05 17:00:00,101037.5,101356.0,100533.41,101282.36,2414.13279,1733421599999,243683753.3277073,412259,1242.54681,125415265.118477,0,0.0,0,BTCUSDT
2024-12-05 18:00:00,101282.37,101521.14,100172.67,100179.24,3771.1155,1733425199999,380347971.7550964,424446,1822.27795,183802850.8717198,0,0.0,0,BTCUSDT
2024-12-05 19:00:00,100179.24,100932.0,98599.36,99028.0,4094.54231,1733428799999,408750690.0342183,547484,1870.6974,186846068.15942648,0,0.0,0,BTCUSDT
2024-12-05 20:00:00,99028.01,99424.0,97888.0,99072.84,5619.97633,1733432399999,554365404.5621864,820119,2621.5955,258675629.6510651,0,0.0,0,BTCUSDT
2024-12-05 21:00:00,99072.84,99479.72,98801.93,98908.02,1883.42416,1733435999999,186762648.24941528,303928,979.00385,97086430.9591433,0,0.0,0,BTCUSDT
2024-12-05 22:00:00,98908.01,99040.0,90500.0,96589.04,14364.88865,1733439599999,1373211392.5384076,1235251,6502.17986,622304877.595746,0,0.0,0,BTCUSDT
2024-12-05 23:00:00,96589.03,97457.55,95340.0,96945.63,4167.05397,1733443199999,402354503.7876916,591816,2220.21926,214361404.2370558,0,0.0,0,BTCUSDT
2024-12-06 00:00:00,96945.63,97757.51,95981.72,97551.99,3693.49758,1733446799999,358182941.4373122,410042,2020.8242,195991639.2909312,0,0.00047058999999999995,0,BTCUSDT
2024-12-06 00:00:00,96945.63,97757.51,95981.72,97551.99,3693.49758,1733446799999,358182941.4373122,410042,2020.8242,195991639.2909312,0,0.00047058999999999995,0,BTCUSDT
2024-12-06 01:00:00,97551.99,98828.7,97109.68,98118.38,3073.99532,1733450399999,301216369.3065516,335721,1760.10119,172543611.6376841,0,0.0,0,BTCUSDT
2024-12-06 02:00:00,98118.38,98161.07,97473.68,97589.74,1855.59169,1733453999999,181532787.27698767,267375,926.60591,90642598.3697707,0,0.0,0,BTCUSDT
2024-12-06 03:00:00,97589.75,97752.14,97186.27,97735.29,1879.69228,1733457599999,183179890.66617793,338724,871.66531,84927123.8124452,0,0.0,0,BTCUSDT
2024-12-06 04:00:00,97735.29,97972.85,97370.19,97877.5,917.85636,1733461199999,89689302.3049921,169582,419.27847,40972747.8734036,0,0.0,0,BTCUSDT
2024-12-06 05:00:00,97877.51,98266.66,97633.26,97864.01,1012.8073,1733464799999,99192854.6463729,190477,483.11087,47312626.7404924,0,0.0,0,BTCUSDT
2024-12-06 06:00:00,97864.02,98275.9,97755.09,98079.96,1155.86623,1733468399999,113305519.2159678,162115,512.76568,50262226.5599916,0,0.0,0,BTCUSDT
2024-12-06 07:00:00,98079.97,98288.0,97759.74,98138.54,1513.64496,1733471999999,148308472.5801822,173543,803.08528,78672963.3010564,0,0.0,0,BTCUSDT
2024-12-06 08:00:00,98138.53,98705.23,98013.93,98345.38,1621.63385,1733475599999,159632496.6301951,184956,861.75366,84833497.6258773,0,0.0001,0,BTCUSDT
2024-12-06 09:00:00,98345.38,98542.33,97927.22,98000.0,1586.98865,1733479199999,155829660.5051603,241130,747.06496,73360852.781683,0,0.0,0,BTCUSDT
2024-12-06 10:00:00,98000.0,98186.0,97622.86,98124.78,1357.01704,1733482799999,132854586.8711051,231219,525.93127,51491988.696831,0,0.0,0,BTCUSDT
2024-12-06 11:00:00,98124.79,98320.0,97812.42,98069.62,942.87343,1733486399999,92395416.3703738,180578,462.27039,45296259.2988775,0,0.0,0,BTCUSDT
